count,url_from,url_to
,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/library-rules-en/2012-05-25-09-57-31-en,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/service-formal-en/a-study-visit-en
,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/library-rules-en/2012-05-25-09-57-31-en,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/service-formal-en/locker-service-en
,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/library-rules-en/2012-05-25-09-57-31-en,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/service-formal-en/photocopying-en
,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/library-rules-en/2012-05-25-09-57-31-en,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/2012-05-25-09-13-24/kulc-reserv-en
,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/library-rules-en/2012-05-25-09-57-31-en,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/2012-05-25-09-13-24/internet-en
,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/library-rules-en/2012-05-25-09-57-31-en,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/2012-05-25-09-13-24/e-request-en
,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/library-rules-en/2012-05-25-09-57-31-en,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/2012-05-25-09-13-24/laptop-loan-service-en
,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/library-rules-en/2012-05-25-09-57-31-en,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/2012-05-25-09-13-24/learn-enter-en
,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/library-rules-en/2012-05-25-09-57-31-en,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/2012-05-25-09-13-24/service-delivery-en
,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/library-rules-en/2012-05-25-09-57-31-en,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/2012-05-25-09-13-24/research-info-service-en
,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/library-rules-en/2012-05-25-09-57-31-en,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/2012-05-25-09-13-24/research-corner
,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/library-rules-en/2012-05-25-09-57-31-en,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/2012-05-25-09-13-24/research-square-en
,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/library-rules-en/2012-05-25-09-57-31-en,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/2012-05-25-09-13-24/subject-guide-en
,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/library-rules-en/2012-05-25-09-57-31-en,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/2012-05-25-09-13-24/self-check-en
,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/library-rules-en/the-rules-reading-area,http://lib.ku.ac.th/web/index.php/2013-05-02-04-49-11/library-rules-en/the-rules-reading-area
,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/library-rules-en/the-rules-reading-area,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-48-56/library-en/historym-en
,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/library-rules-en/the-rules-reading-area,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-48-56/library-en/mission-v-en
,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/library-rules-en/the-rules-reading-area,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-48-56/library-en/organize-en
